VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
2434, 719, -0.08796, 7.28497, 0.58732, 0.04632, 0.60085, 0.79727, 0.80, 0.80, 0.80, 1.00, 0.7742, 0.6389
2435, 726, -0.28931, 7.29005, 0.6003, 0.06836, 0.48984, 0.86831, 0.80, 0.80, 0.80, 1.00, 0.83797, 0.64565
2436, 718, 0.63397, 7.04254, 0.56515, 0.41983, 0.26546, 0.86704, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.63694
2437, 727, 0.30246, 7.25528, 0.53624, 0.14102, 0.65389, 0.74277, 0.80, 0.80, 0.80, 1.00, 0.69503, 0.62512
2438, 719, -0.08796, 7.28497, 0.58732, 0.04632, 0.60085, 0.79727, 0.80, 0.80, 0.80, 1.00, 0.7742, 0.6389
2439, 719, -0.08796, 7.28497, 0.58732, 0.04632, 0.60085, 0.79727, 0.80, 0.80, 0.80, 1.00, 0.7742, 0.6389
2440, 727, 0.30246, 7.25528, 0.53624, 0.14102, 0.65389, 0.74277, 0.80, 0.80, 0.80, 1.00, 0.69503, 0.62512
2441, 728, -0.3358, 7.42993, 0.40303, 0.16686, 0.87115, 0.46124, 0.80, 0.80, 0.80, 1.00, 0.83807, 0.63116
2442, 719, -0.08796, 7.28497, 0.58732, 0.04632, 0.60085, 0.79727, 0.80, 0.80, 0.80, 1.00, 0.7742, 0.6389
2443, 728, -0.3358, 7.42993, 0.40303, 0.16686, 0.87115, 0.46124, 0.80, 0.80, 0.80, 1.00, 0.83807, 0.63116
2444, 726, -0.28931, 7.29005, 0.6003, 0.06836, 0.48984, 0.86831, 0.80, 0.80, 0.80, 1.00, 0.83797, 0.64565
2445, 728, -0.3358, 7.42993, 0.40303, 0.16686, 0.87115, 0.46124, 0.80, 0.80, 0.80, 1.00, 0.83807, 0.63116
2446, 727, 0.30246, 7.25528, 0.53624, 0.14102, 0.65389, 0.74277, 0.80, 0.80, 0.80, 1.00, 0.69503, 0.62512
2447, 729, 0.18005, 7.49194, 0.28917, 0.10558, 0.74407, 0.65923, 0.80, 0.80, 0.80, 1.00, 0.70451, 0.61042
2448, 722, -0.14068, 5.21659, 0.59693, -0.17661, 0.29947, 0.93762, 0.80, 0.80, 0.80, 1.00, 0.79666, 0.87338
2449, 721, -0.4367, 5.44544, 0.21089, -0.78437, -0.03711, 0.61777, 0.80, 0.80, 0.80, 1.00, 0.80909, 0.84596
2450, 730, -0.54977, 5.45664, 0.08372, -0.77032, -0.10394, 0.62775, 0.80, 0.80, 0.80, 1.00, 0.83039, 0.84807
2451, 722, -0.14068, 5.21659, 0.59693, -0.17661, 0.29947, 0.93762, 0.80, 0.80, 0.80, 1.00, 0.79666, 0.87338
2452, 730, -0.54977, 5.45664, 0.08372, -0.77032, -0.10394, 0.62775, 0.80, 0.80, 0.80, 1.00, 0.83039, 0.84807
2453, 731, -0.31077, 5.25857, 0.55741, -0.16833, 0.22211, 0.96038, 0.80, 0.80, 0.80, 1.00, 0.81639, 0.87164
2454, 730, -0.54977, 5.45664, 0.08372, -0.77032, -0.10394, 0.62775, 0.80, 0.80, 0.80, 1.00, 0.83039, 0.84807
2455, 721, -0.4367, 5.44544, 0.21089, -0.78437, -0.03711, 0.61777, 0.80, 0.80, 0.80, 1.00, 0.80909, 0.84596
2456, 723, -0.50652, 5.6397, 0.2615, -0.82011, -0.26583, 0.50512, 0.80, 0.80, 0.80, 1.00, 0.81059, 0.82602
2457, 730, -0.54977, 5.45664, 0.08372, -0.77032, -0.10394, 0.62775, 0.80, 0.80, 0.80, 1.00, 0.83039, 0.84807
2458, 723, -0.50652, 5.6397, 0.2615, -0.82011, -0.26583, 0.50512, 0.80, 0.80, 0.80, 1.00, 0.81059, 0.82602
2459, 732, -0.60896, 5.6661, 0.13308, -0.7383, -0.17877, 0.64904, 0.80, 0.80, 0.80, 1.00, 0.84244, 0.82475
2460, 732, -0.60896, 5.6661, 0.13308, -0.7383, -0.17877, 0.64904, 0.80, 0.80, 0.80, 1.00, 0.84244, 0.82475
2461, 724, -0.45527, 6.41218, 0.45137, -0.74729, -0.18278, 0.63755, 0.80, 0.80, 0.80, 1.00, 0.83713, 0.73723
2462, 733, -0.49369, 6.42372, 0.42616, -0.58336, -0.2763, 0.7627, 0.80, 0.80, 0.80, 1.00, 0.83841, 0.73597
2463, 732, -0.60896, 5.6661, 0.13308, -0.7383, -0.17877, 0.64904, 0.80, 0.80, 0.80, 1.00, 0.84244, 0.82475
2464, 723, -0.50652, 5.6397, 0.2615, -0.82011, -0.26583, 0.50512, 0.80, 0.80, 0.80, 1.00, 0.81059, 0.82602
2465, 724, -0.45527, 6.41218, 0.45137, -0.74729, -0.18278, 0.63755, 0.80, 0.80, 0.80, 1.00, 0.83713, 0.73723
2466, 733, -0.49369, 6.42372, 0.42616, -0.58336, -0.2763, 0.7627, 0.80, 0.80, 0.80, 1.00, 0.83841, 0.73597
2467, 724, -0.45527, 6.41218, 0.45137, -0.74729, -0.18278, 0.63755, 0.80, 0.80, 0.80, 1.00, 0.83713, 0.73723
2468, 725, -0.47224, 6.76063, 0.64453, -0.53527, 0.12856, 0.8337, 0.80, 0.80, 0.80, 1.00, 0.83816, 0.70727
2469, 734, 0.62488, 4.99421, 0.33492, 0.8361, -0.15224, 0.52702, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.88546
2470, 708, 0.63357, 5.08827, 0.33297, 0.84382, -0.09814, 0.52758, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.87519
2471, 710, 0.26946, 5.17098, 0.69652, 0.23431, 0.11562, 0.96526, 0.80, 0.80, 0.80, 1.00, 0.74539, 0.87156
2472, 734, 0.62488, 4.99421, 0.33492, 0.8361, -0.15224, 0.52702, 0.80, 0.80, 0.80, 1.00, 0.63385, 0.88546
2473, 710, 0.26946, 5.17098, 0.69652, 0.23431, 0.11562, 0.96526, 0.80, 0.80, 0.80, 1.00, 0.74539, 0.87156
2474, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2475, 735, 0.24597, 5.04536, 0.70693, 0.35741, -0.02864, 0.93351, 0.80, 0.80, 0.80, 1.00, 0.73225, 0.88546
2476, 710, 0.26946, 5.17098, 0.69652, 0.23431, 0.11562, 0.96526, 0.80, 0.80, 0.80, 1.00, 0.74539, 0.87156
2477, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2478, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2479, 710, 0.26946, 5.17098, 0.69652, 0.23431, 0.11562, 0.96526, 0.80, 0.80, 0.80, 1.00, 0.74539, 0.87156
2480, 722, -0.14068, 5.21659, 0.59693, -0.17661, 0.29947, 0.93762, 0.80, 0.80, 0.80, 1.00, 0.79666, 0.87338
2481, 736, -0.19445, 5.11165, 0.65295, -0.16716, 0.36046, 0.91767, 0.80, 0.80, 0.80, 1.00, 0.80282, 0.88546
2482, 722, -0.14068, 5.21659, 0.59693, -0.17661, 0.29947, 0.93762, 0.80, 0.80, 0.80, 1.00, 0.79666, 0.87338
2483, 737, -0.37603, 5.13952, 0.59231, -0.19193, 0.53693, 0.8215, 0.80, 0.80, 0.80, 1.00, 0.8201, 0.88546
2484, 738, -0.37603, 5.13952, 0.59231, -0.18797, 0.35483, 0.91584, 0.80, 0.80, 0.80, 1.00, 0.81144, 0.88546
2485, 722, -0.14068, 5.21659, 0.59693, -0.17661, 0.29947, 0.93762, 0.80, 0.80, 0.80, 1.00, 0.79666, 0.87338
2486, 731, -0.31077, 5.25857, 0.55741, -0.16833, 0.22211, 0.96038, 0.80, 0.80, 0.80, 1.00, 0.81639, 0.87164
