VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, NORMAL.x, NORMAL.y, NORMAL.z, WORLDPOS.x, WORLDPOS.y, WORLDPOS.z
0, 0, -27.28371, 24.61787, 109.87285, 110.83623, 1.45512E-08, 1.45512E-08, 1.45512E-08, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.96156, -0.14497, 0.23323, -62.26862, 13.44622, -86.43036
1, 1, -27.5916, 27.00796, 109.66016, 110.62361, 1.83077E-08, 1.83077E-08, 1.83077E-08, 1.00, 0.44849, 0.00096, 0.44849, 0.00096, -0.96553, -0.00257, 0.26027, -62.34437, 15.19405, -86.72863
2, 2, -25.66351, 27.69749, 109.65331, 110.61676, 9.17500E-08, 9.17500E-08, 9.17500E-08, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.95738, -0.06046, -0.28244, -62.41998, 15.68933, -84.86084
3, 0, -27.28371, 24.61787, 109.87285, 110.83623, 1.45512E-08, 1.45512E-08, 1.45512E-08, 1.00, 0.44849, 0.14128, 0.44849, 0.14128, -0.96156, -0.14497, 0.23323, -62.26862, 13.44622, -86.43036
4, 2, -25.66351, 27.69749, 109.65331, 110.61676, 9.17500E-08, 9.17500E-08, 9.17500E-08, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.95738, -0.06046, -0.28244, -62.41998, 15.68933, -84.86084
5, 3, -24.85226, 26.04226, 110.37122, 111.33443, 9.19539E-08, 9.19539E-08, 9.19539E-08, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.90859, -0.11315, -0.40208, -62.93017, 14.38512, -84.07496
6, 3, -24.85226, 26.04226, 110.37122, 111.33443, 9.19539E-08, 9.19539E-08, 9.19539E-08, 1.00, 0.68555, 0.13161, 0.68555, 0.13161, -0.90859, -0.11315, -0.40208, -62.93017, 14.38512, -84.07496
7, 2, -25.66351, 27.69749, 109.65331, 110.61676, 9.17500E-08, 9.17500E-08, 9.17500E-08, 1.00, 0.64421, 0.00096, 0.64421, 0.00096, -0.95738, -0.06046, -0.28244, -62.41998, 15.68933, -84.86084
8, 4, -24.38046, 27.64774, 110.34779, 111.311, 9.21971E-08, 9.21971E-08, 9.21971E-08, 1.00, 0.74824, 0.07275, 0.74824, 0.07275, -0.87907, -0.05884, -0.47304, -63.09883, 15.53954, -83.61791
