VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
0, 0, 1.03985, 7.55954, 1.14101, 0.70425, -0.26767, 0.65665, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
1, 1, 1.0717, 7.7341, 1.13892, 0.73796, -0.12676, 0.6619, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.00096
2, 2, 0.91382, 7.78212, 1.23955, 0.27412, -0.18904, 0.94231, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
3, 0, 1.03985, 7.55954, 1.14101, 0.70425, -0.26767, 0.65665, 0.80, 0.80, 0.80, 1.00, 0.44849, 0.14128
4, 2, 0.91382, 7.78212, 1.23955, 0.27412, -0.18904, 0.94231, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
5, 3, 0.81225, 7.6587, 1.22449, 0.1441, -0.23616, 0.96038, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
6, 3, 0.81225, 7.6587, 1.22449, 0.1441, -0.23616, 0.96038, 0.80, 0.80, 0.80, 1.00, 0.68555, 0.13161
7, 2, 0.91382, 7.78212, 1.23955, 0.27412, -0.18904, 0.94231, 0.80, 0.80, 0.80, 1.00, 0.64421, 0.00096
8, 4, 0.77197, 7.77484, 1.24866, 0.072, -0.17924, 0.98059, 0.80, 0.80, 0.80, 1.00, 0.74824, 0.07275
